Breath;0;126;0,9524
1905,00;-1f 1f;left;
1905,00;1f 1f;right;
3809,76;2f 2f;right;
5714,52;-2f 2f;left;
7619,29;2f 0f;right;
9047,86;-2f 0f;left;
9524,05;-1f 1f;left;
9524,05;1f 1f;right;
10000,24;-1f 3f;left;
10476,43;1f 3f;right;
11905,00;1f 3f;right;
12381,19;-1f 3f;left;
13333,57;-1f 1f;left;
13333,57;1f 1f;right;
13809,76;-1f -1f;right;
14285,95;1f -1f;left;
15714,52;1f -1f;left;
16190,71;-1f -1f;right;
17143,1;-1f 2f;left;
17143,1;1f 2f;right;
18095,48;-1f 0f;left;
18095,48;1f 0f;right;
18809,76;2f 0f;right;
19047,86;-2f 0f;left;
20000,24;-2f 2f;left;
20000,24;2f 2f;right;
20952,62;-1f 2f;left;
20952,62;1f 2f;right;
21905,00;-1f 0f;left;
21905,00;1f 0f;right;
22619,29;-2f 0f;left;
22857,38;2f 0f;right;
23809,76;-2f 2f;left;
23809,76;2f 2f;right;
24762,14;-1f 0f;left;
24762,14;1f 0f;right;
25714,52;-1f -2f;left;
25714,52;1f -2f;right;
26428,81;2f -2f;right;
26666,9;-2f -2f;left;
27619,29;-2f 0f;left;
27619,29;2f 0f;right;
28571,67;-1f 0f;left;
28571,67;1f 0f;right;
29524,05;-1f -2f;left;
29524,05;1f -2f;right;
30238,33;-2f -2f;left;
30476,43;2f -2f;right;
31428,81;-2f 0f;left;
31428,81;2f 0f;right;
32381,19;-4f 0f;left;
32381,19;4f 0f;right;
33333,57;0f 0f;right;
34285,95;-3f 0f;left;
34285,95;3f 0f;right;
35238,33;0f 0f;right;
36190,71;-2f 0f;left;
36190,71;2f 0f;right;
37143,1;0f 0f;left;
38095,48;-1f 0f;left;
38095,48;1f 0f;right;
39047,86;0f 0f;left;
40000,24;-1f 4f;left;
40000,24;1f 4f;right;
40952,62;1f 3f;right;
41905,00;-1f 3f;left;
42857,38;1f 2f;right;
43809,76;-1f 2f;left;
44285,95;1f 1f;right;
44762,14;-1f 1f;left;
45238,33;1f 0f;right;
45714,52;-1f 0f;left;
46666,9;-3f 3f;left;
46666,9;3f 3f;right;
47619,29;-1f 0f;left;
47619,29;1f 0f;right;
48095,48;2f 1f;right;
48571,67;-2f 1f;left;
48571,67;2f 1f;right;
49524,05;-1f 0f;left;
49524,05;1f 0f;right;
50476,43;-2f 1f;left;
50476,43;2f 1f;right;
51428,81;-1f 0f;left;
51428,81;1f 0f;right;
52381,19;-2f 1f;left;
52381,19;2f 1f;right;
53333,57;-1f 0f;left;
53333,57;1f 0f;right;
54285,95;-3f 2f;left;
54285,95;3f 2f;right;
55238,33;-1f 0f;left;
55238,33;1f 0f;right;
55714,52;-2f -1f;left;
56190,71;-2f -1f;left;
56190,71;2f -1f;right;
57143,1;-1f 0f;left;
57143,1;1f 0f;right;
57619,29;2f 0f;right;
58095,48;-2f -1f;left;
58095,48;2f -1f;right;
58571,67;-2f 0f;left;
59047,86;-1f 0f;left;
59047,86;1f 0f;right;
59524,05;2f 0f;right;
60000,24;-2f -1f;left;
60000,24;2f -1f;right;
60476,43;-2f 0f;left;
60952,62;-1f 0f;left;
60952,62;1f 0f;right;
62857,38;-1f 0f;left;
62857,38;1f 0f;right;
